___________________________________________________________________
Keyword and Identifier State Table
___________________________________________________________________

       Char
State |  a  |  b  |  c  |  d  |  e  |  f  |  g  |  h  |  i  |  l  |  m  |  n  |  o  |  p  |  r  |  s  |  t  |  u  |
  0   |  5  |  8  |     |     |  15 |  33 |     |     |  1  |     |  19 |  23 |  26 |  28 |     |     |  38 |     |     
  1   |     |     |     |     |     |  2  |     |     |     |     |     |  45 |     |     |     |     |     |     | 
  2   |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
  3   |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
  4   |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
  5   |     |     |     |     |     |     |     |     |     |     |     |  6  |     |     |     |     |     |
  6   |     |     |     |  7  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
  7   |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
  8   |     |     |     |     |     |     |     |     |     |     |     |     |  9  |     |     |     |     |     |
  9   |     |     |     |     |     |     |     |     |     |     |     |     |  10 |     |     |     |     |     |
  10  |     |     |     |     |     |     |     |     |     | 11  |     |     |     |     |     |     |     |     |
  11  |     |     |     |     |  12 |     |     |     |     |     |     |     |     |     |     |     |     |     |
  12  |  13 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
  13  |     |     |     |     |     |     |     |     |     |     |     | 14  |     |     |     |     |     |     |
  14  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
  15  |     |     |     |     |     |     |     |     |     |  16 |     |     |     |     |     |     |     |     |
  16  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  17 |     |     |
  17  |     |     |     |     |  18 |     |     |     |     |     |     |     |     |     |     |     |     |     |
  18  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
  19  |  20 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
  20  |     |     |     |     |     |     |     |     |  21 |     |     |     |     |     |     |     |     |     |
  21  |     |     |     |     |     |     |     |     |     |     |     |  22 |     |     |     |     |     |     |
  22  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
  23  |     |     |     |     |     |     |     |     |     |     |     |     |  24 |     |     |     |     |     |
  24  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  25 |     |
  25  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
  26  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  27 |     |     |     |
  27  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
  28  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  29 |     |     |     |
  29  |     |     |     |     |     |     |     |     |  30 |     |     |     |     |     |     |     |     |     |
  30  |     |     |     |     |     |     |     |     |     |     |     |  31 |     |     |     |     |     |     |
  31  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  32 |     |
  32  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
  33  |  34 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  51 |
  34  |     |     |     |     |     |     |     |     |     |  35 |     |     |     |     |     |     |     |     |
  35  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  36 |     |     |
  36  |     |     |     |     |  37 |     |     |     |     |     |     |     |     |     |     |     |     |     |
  37  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
  38  |     |     |     |     |     |     |     |  39 |     |     |     |     |     |     |  42 |     |     |     |
  39  |     |     |     |     |  40 |     |     |     |     |     |     |     |     |     |     |     |     |     |
  40  |     |     |     |     |     |     |     |     |     |     |     |  41 |     |     |     |     |     |     |
  41  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
  42  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  43 |
  43  |     |     |     |     |  44 |     |     |     |     |     |     |     |     |     |     |     |     |     |
  44  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
  45  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  46 |     |
  46  |     |     |     |     |  47 |     |     |     |     |     |     |     |     |     |     |     |     |     |
  47  |     |     |     |     |     |     |  48 |     |     |     |     |     |     |     |     |     |     |     |
  48  |     |     |     |     |  49 |     |     |     |     |     |     |     |     |     |     |     |     |     |
  49  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  50 |     |     |     |
  50  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
  51  |     |     |     |     |     |     |     |     |     |     |     |  52 |     |     |     |     |     |     |
  52  |     |     |  53 |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
  53  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |  54 |     |
  54  |     |     |     |     |     |     |     |     |  55 |     |     |     |     |     |     |     |     |     |
  55  |     |     |     |     |     |     |     |     |     |     |     |     |  56 |     |     |     |     |     |
  56  |     |     |     |     |     |     |     |     |     |     |     |  57 |     |     |     |     |     |     |
  57  |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |     |
  58  |   **This state will be where any character can go to or from to make an Identifier
  59  |   **This state is where we filter out the comments
  60  |   ***This is where errors go
